code,name,country,city
AOR,ALOR SETAR,MALAYSIA,AOR
APL,NAMPULA,MOZAMBIQUE,APL
AQG,ANQING,CHINA,AQG
AQJ,AQABA,JORDAN,AQJ
AQP,AREQUIPA,PERU,AQP
ARC,ARICA,CHILE,ARC
ARD,ALOR ISLAND,INDONESIA,ARD
ARI,ARICA,CHILE,ARI
ARM,ARMIDALE,AUSTRALIA,ARM
ARN,STOCKHOLM,SWEDEN,ARN
ART,WATERTOWN,USA,ART
ARW,ARAD,ROMANIA,ARW
ASA,ASSAB,ERITREA,ASA
ASB,ASHKHABAD,TURKMENISTAN,ASB
ASD,ANDROS TOWN,BAHAMAS,ASD
ASF,ASTRAKHAN,RUSSIAN,ASF
ASK,YAMOUSSOUKRO,COTE D'LVOIRE,ASK
ASM,ASMARA,ERITREA,ASM
ASP,ALICE SPRINGS,AUSTRALIA,ASP
ASR,KAYSERI,TURKEY,ASR
ASU,ASUNCION,PARAGUAY,ASU
ASW,ASWAN,EGYPT,ASW
ATB,ATBARA,SUDAN,ATB
ATH,ATHENS,GREECE,ATH
ATL,ATLANTA,USA,ATL
ATQ,AMRITSAR,INDIA,ATQ
ATR,ATAR,MAURITANIA,ATR
ATW,APPLETON,USA,ATW
ATY,WATERTOWN,USA,ATY
AUA,ARUBA,ARUBA,AUA
AUG,AUGUSTA,USA,AUG
AUH,ABU DHABI,UAE,AUH
AUS,AUSTIN,USA,AUS
AUX,ARAGUAIA,BRAZIL,AUX
AVI,CIEGO DE AVILA,CUBA,AVI
AVL,ASHEVILLE,USA,AVL
AVN,AVIGNON,FRANCE,AVN
AXA,ANGUILLA,LEEWARD ISLAND,AXA
AXM,ARMENIA,COLOMBIA,AXM
AXT,AKITA,JAPAN,AXT
AYP,AYACUCHO,PERU,AYP
AYQ,AYERS ROCK,AUSTRALIA,AYQ
AYT,ANTALYA,TURKEY,AYT
AZD,YAZD,IRAN,AZD
AZN,ANDIZHAN,UZBEKISTAN,AZN
AZO,KALAMAZOO,USA,AZO
AZR,ADRAR,ALGERIA,AZR
BAG,BAGUIO,PHILIPPINES,BAG
BAH,BAHRAIN,BAHRAIN,BAH
BAK,BAKU,AZERBAIJAN,BAK
BAQ,BARRANQUILLA,COLOMBIA,BAQ
BAV,BAOTOU,CHINA,BAV
BAX,BARNAUL,RUSSIAN,BAX
BBM,BATTAMBANG,CAMBODIA,BBM
BBO,BERBERA,SOMALIA,BBO
BBQ,BARBUDA,LEEWARD IS,BBQ
BBR,BASSE TERRE,GUADELOUPE,BBR
BBU,BUCHAREST,ROMANIA,BBU
BCA,BARACOA,CUBA,BCA
BCD,BACOLOD,PHILIPPINES,BCD
BCI,BARCALDINE,AUSTRALIA,BCI
BCN,BARCELONA,SPAIN,BCN
BDA,BERMUDA,BERMUDA,BDA
BDB,BUNDABERG,AUSTRALIA,BDB
BDJ,BANJARMASIN,INDONESIA,BDJ
BDO,BANDUNG,INDONESIA,BDO
BDR,BRIDGEPORT,USA,BDR
BDS,BRINDISI,ITALY,BDS
BEF,BLUEFIELDS,NICARAGUA,BEF
BEG,BELGRADE,YUGOSLAVIA,BEG
BEH,BENTON HARBOR,USA,BEH
BEJ,BERAU,INDONESIA,BEJ
BEL,BELEM,BRAZIL,BEL
BEO,NEWCASTLE,AUSTRALIA,BEO
BER,BERLIN,GERMANY,BER
BES,BREST,FRANCE,BES
BEW,BEIRA,MOZAMBIQUE,BEW
BEY,BEIRUT,LEBANON,BEY
BFL,BAKERSFIELD,USA,BFL
BFN,BLOEMFONTEIN,S AFRICA,BFN
BFS,BELFAST,UK,BFS
BFU,BENGBU,CHINA,BFU
BGA,BUCARAMANGA,COLOMBIA,BGA
BGF,BANGUI,CEN AFR REP,BGF
BGI,BARBADOS,BARBADOS,BGI
BGM,BINGHAMTON,USA,BGM
BGO,BERGEN,NORWAY,BGO
BGR,BANGOR,USA,BGR
BHD,BELFAST,UK,BHD
BHE,BLENHEIM,NEW ZEALAND,BHE
BHH,BISHA,SAUDI ARABIA,BHH
BHI,BAHIA BLANCA,ARGENTINA,BHI
BHJ,BHUJ,INDIA,BHJ
BHK,BUKHARA,UZBEKISTAN,BHK
BHM,BIRMINGHAM,USA,BHM
BHO,BHOPAL,INDIA,BHO
BHQ,BROKEN HILL,AUSTRALIA,BHQ
BHS,BATHURST,AUSTRALIA,BHS
BHU,BHAVANAGAR,INDIA,BHU
BHX,BIRMINGHAM,U.K.,BHX
BHY,BEIHAI,CHINA,BHY
BIA,BASTIA,FRANCE,BIA
BIK,BIAK,INDONESIA,BIK
BIL,BILLINGS,USA,BIL
BIO,BILBAO,SPAIN,BIO
BIS,BISMARCK,USA,BIS
BJL,BANJUL,GAMBIA,BJL
BJM,BUJUMBURA,BURUNDI,BJM
BJS,BEIJING,CHINA,BJS
BJX,LEON/GUANAJUATO,MEXICO,BJX
BJZ,BADAJOZ,SPAIN,BJZ
BKA,MOSCOW,RUSSIAN,MOW
BKI,KOTA KINABALU,MALAYSIA,BKI
BKK,BANGKOK,THAILAND,BKK
BKO,BAMAKO,MALI,BKO
BKQ,BLACKALL,AUSTRALIA,BKQ
BKS,BENGKULU,INDONESIA,BKS
BKW,BECKLEY,USA,BKW
BLA,BARCELONA,VENEZUELA,BLA
BLF,BLUEFIELD,USA,BLF
BLG,BELAGA,MALAYSIA,BLG
BLI,BELLINGHAM,USA,BLI
BLQ,BOLOGNA,ITALY,BLQ
BLR,BANGALORE,INDIA,BLR
BLZ,BLANTYRE,MALAWI,BLZ
BME,BROOME,AUSTRALIA,BME
BMG,BLOOMINGION,USA,BMG
BMO,BHAMO,MYANMAR,BMO
BMU,BIMA,INDONESIA,BMU
BMV,BAN NE THUOT,VIETNAM,BMV
BND,BANDAR ABBAS,IRAN,BND
BNE,BRISBANE,AUSTRALIA,BNE
BNJ,BONN,GERMANY,CGN
BNK,BALLINA,AUSTRALIA,BNK
BNU,BLUMENAU,BRAZIL,BNU
BOD,BORDEAUX,FRANCE,BOD
BOG,BOGOTA,COLOMBIA,BOG
BOI,BOISE,USA,BOI
BOM,BOMBAY/MUMBAI,INDIA,BOM
BON,BONAIRE,NETHERLANDS,BON
BOO,BODO,NORWAY,BOO
BOS,BOSTON,USA,BOS
BOX,BORROLOOLA,AUSTRALIA,BOX
BPN,BALIKPAPAN,INDONESIA,BPN
BPT,BEAMONT,USA,BPT
BQT,BREST,BELARUS,BQT
BRA,BARREIRAS,BRAZIL,BRA
BRE,BREMEN,GERMANY,BRE
BRI,BARI,ITALY,BRI
BRK,BOURKE,AUSTRALIA,BRK
BRL,BURLINGTON,USA,BRL
BRM,BARQUIAIMETO,VENEZUELA,BRM
BRN,BERNE,SWITZERLAND,BRN
BRO,BROWNSVILLE,USA,BRO
BRQ,BRNO,CZECH,BRQ
BRR,BARRA,UK,BRR
BRS,BRISTOL,UK,BRS
BRU,BRUSSELS,BELGIUM,SAO
BRW,BARROW,USA,BRW
BSB,BRASILIA,BRAZIL,BSB
BSD,BAOCHAN,CHINA,BSD
BSG,BATA,EQUAT GUINEA,BSG
BSK,BISKRA,ALGERIA,BSK
BSL,BASEL,SWITZERLAND,BSL
BTM,BUTTE,USA,BTM
BTR,BARON ROUGE,USA,BTR
BTU,BINTULU,MALAYSIA,BTU
BTV,BURLINGTON,USA,BTV
BUC,BURKETOWN,AUSTRALIA,BUC
BUD,BUDAPEST,HUNGARY,BUD
BUE,BUENOS AIRES,ARGENTINA,BUE
BUF,BUFFALO,USA,BUF
BUG,BENGUELA,ANGOLA,BUG
BUH,BUCHAREST,ROMANIA,BUH
BUR,BURBANK,USA,LAX
BUS,BATUMI,GEORGIA,BUS
BVB,BOA VISTA,BRAZIL,BVB
BVC,BOA VISTA,CAPE VERDE,BVC
BVI,BIRDSVILLE,AUSTRALIA,BVI
BWE,BRAUNSCHWEIG,GERMANY,BWE
BWI,BALTIMORE,USA,BWI
BWN,BANDAR SERI BEGAWAN,BRUNEI DARUSSALAM,BWN
BWQ,BREWARRINA,AUSTRALIA,BWQ
BWT,BURNIE,AUSTRALIA,BWT
BXH,BALKHASH,KAZAKHSTAN,BXH
BXU,BUTUAN,PHILIPPINES,BXU
BZE,BELIZE CITY,BELIZE,BZE
BZL,BARISAL,BANGLADESH,BZL
BZN,BOZEMAN,USA,BZN
BZV,BRAZZAVILLE,CONGO,BZV
CAB,CABINDA,ANGOLA,CAB
CAE,COLUMBIA,USA,CAE
CAG,CAGLIARI,ITALY,CAG
CAI,CAIRO,EGYPT,CAI
CAK,AKRON/CANTON,USA,CAK
CAN,GUANGZHOU,CHINA,CAN
CAP,CAP HAITIEN,HAITI,CAP
CAS,CASABLANCA,MOROCCO,CAS
CAW,CAMPOS,BRAZIL,CAW
CAY,CAYENNE,FR GUIANA,CAY
CAZ,COBAR,AUSTRALIA,CAZ
CBB,COCHABAMBA,BOLIVIA,CBB
CBE,CUMBERLAND,USA,CBE
CBG,CAMBRIDGE,UK,CBG
CBI,CAPE BARREN ISLAND,AUSTRALIA,CBI
CBL,CIUDAD BOLIVAR,VENEZUELA,CBL
CBO,COTABATO,PHILIPPINES,CBO
CBR,CANBERRA,AUSTRALIA,CBR
CCK,COCOS ISLANDS,COCOS ISLANDS,CCK
CCP,CONCEPCION,CHILE,CCP
CCS,CARACAS,VENEZUELA,CCS
CCU,CALCUTTA,INDIA,CCU
CDC,CEDAR CITY,USA,CDC
CDG,CHARLES DE GAULLE,FRANCE,PAR
CDR,CHADRON,USA,CDR
CEB,CEBU,PHILIPPINES,CEB
CED,CEDUNA,AUSTRALIA,CED
CEI,CHIANG RAI,THAILAND,CEI
CEN,CIUDAD OBREGON,MEXICO,CEN
CEQ,CANNES,FRANCE,CEQ
CER,CHERBOURG,FRANCE,CER
CEZ,CORTEZ,USA,CEZ
CFE,CLERMONT-FERRAND,FRANCE,CFE
CFN,DONEGAL,IRELAND,CFN
CFR,CAEN,FRANCE,CFR
CFS,COFFS HARBOUR,AUSTRALIA,CFS
CGB,CUIABA,BRAZIL,CGB
CGH,SAO PAULO,BRAZIL,CGH
CGK,JAKARTA SOEKARNO-HAT,INDONESIA,JKT
CGN,COLOGNE,GERMANY,CGN
CGO,ZHENGZHOU,CHINA,CGO
CGP,CHITTAGONG,BANGLADESH,CGP
CGQ,CHANGCHUN,CHINA,CGQ
CGR,CAMPO GRANDE,BRAZIL,CGR
CGX,CHICAGO MEIGS FIELD,USA,CHI
CHA,CHATTANOOGA,USA,CHA
CHC,CHRISTCHURCH,NEW ZEALAND,CHC
CHI,CHICAGO,USA,CHI
CHM,CHIMBOTE,PERU,CHM
CHS,CHARLESTON,USA,CHS
CHT,CHATHAM ISLAND,NEW ZEALAND,CHT
CHY,CHOISEUL BAY,SOLOMON IS,CHY
CIA,ROME,ITALY,CIA
CIC,CHICO,USA,CIC
CID,CEDAR RAPIDS,USA,CID
CIJ,COBIJA,BOLIVIA,CIJ
CIU,SAULT SAINTE MARIE,USA,CIU
CIX,CHICLAYO,PERU,CIX
CJA,CAJAMARCA,PERU,CJA
CJB,COIMBATORE,INDIA,CJB
CJL,CHITRAL,PAKISTAN,CJL
CJS,CIUDAD JUAREZ,MEXICO,CJS
CJU,CHEJU,KOREA,CJU
CKB,CLARKSBURG,USA,CKB
CKY,CONAKRY,GUINEA,CKY
CLD,CARLSBAD,USA,CLD
CLE,CLEVELAND,USA,CLE
CLJ,CLUJ,ROMANIA,CLJ
CLO,CALI,COLOMBIA,CLO
CLT,CHARLOTTE,USA,CLT
CMA,CUNNAMULLA,AUSTRALIA,CMA
CMB,COLOMBO,SRI LANKA,CMB
CMD,COOTAMUNDRA,AUSTRALIA,CMD
CME,CIUDAD DEL CARMEN,MEXICO,CME
CMH,COLUMBUS,USA,CMH
CMN,CASABLANCA,MOROCCO,CMN
CMW,CAMAGUEY,CUBA,CMW
CMX,HANCOCK,USA,CMX
CNB,COONAMBLE,AUSTRALIA,CNB
CND,CONSTANTA,ROMANIA,CND
CNJ,CLONCURRY,AUSTRALIA,CNJ
CNM,CARLSBAD,USA,CNM
CNQ,CORRIENTES,ARGENTINA,CNQ
CNS,CAIRNS,AUSTRALIA,CNS
CNX,CHIANG MAI,THAILAND,CNX
COK,COCHIN,INDIA,COK
COO,COTONOU,BENIN,COO
COR,CORDOBA,ARGENTINA,COR
COS,COLORADO,USA,COS
COU,COLUMBIA,USA,COU
CPC,SAN MARTIN,ARGENTINA,CPC
CPD,COOBER PEDY,AUSTRALIA,CPD
CPE,CAMPECHE,MEXICO,CPE
CPH,COPENHANGEN,DENMARK,CPH
CPO,COPIAPO,CHILE,CPO
CPQ,CAMPINAS,BRAZIL,CPQ
CPR,CASPER,USA,CPR
CPT,CAPE TOWN,S AFRCIA,CPT
CPV,CAMPINA GRANDE,BRAZIL,CPV
CRD,COMODORO RIVADAVIA,ARGENTINA,CRD
CRQ,CARAVELAS,BRAZIL,CRQ
CRU,CARRIACOU,GRENADA,CRU
CRW,CHARLESTON,USA,CRW
CSG,COLUMBUS,USA,CSG
CSI,CASINO,AUSTRALIA,CSI
CSX,CHANGSHA,CHINA,CSX
CTA,CATANIA,ITALY,CTA
CTC,CATAMARCA,ARGENTIA,CTC
CTG,CARTAGENA,COLOMBIA,CTG
CTL,CHARLEVILLE,AUSTRALIA,CTL
CTN,COOKTOWN,AUSTRALIA,CTN
CTS,SAPPORO CHITOSE,JAPAN,SPK
CTU,CHENGDU,CHINA,CTU
CUE,CUENCA,ECUADOR,CUE
CUJ,CULION,PHILIPPINES,CUJ
CUL,CULIACAN,MEXICO,CUL
CUM,CUMANA,VENEZUELA,CUM
CUR,CURACAO,NETHERLANDS ANTILLES,CUR
CUU,CHIHUAHUA,MEXICO,CUU
CUY,CUE,AUSTRALIA,CUY
CUZ,CUZCO,PERU,CUZ
CVG,CINCINNATI,USA,CVG
CVM,CIUDAD VICTORIA,MEXICO,CVM
CVN,CLOVIS,USA,CVN
CVQ,CARNARVON,AUSTRALIA,CVQ
CWB,CURITIBA,BRAZIL,CWB
CWL,CARDIFF,UK,CWL
CWT,COWRA,AUSTRALIA,CWT
CXH,VANCOUVER,CANADA,YVR
CXP,CILACAP,INDONESIA,CXP
CYB,CAYMAN BRAC,CAYMAN ISLAND,CYB
CYI,CHIAYI,TAIWAN,CYI
CYS,CHEYENNE,USA,CYS
CZE,CORO,VENEZUELA,CZE
CZH,COROZAL,BELIZE,CZH
CZL,CONSTANTINE,ALGERIA,CZL
CZM,COZUMEL,MEXICO,CZM
CZS,CRUZEIRO DO SUL,BRAZIL,CZS
CZU,COROZAL,COLOMBIA,CZU
CZX,CHANGZHOU,CHINA,CZX
DAC,DHAKA,BANGLADESH,DAC
DAL,DALLAS,USA,DAL
DAM,DAMASCUS,SYRIAN,DAM
DAY,DAYTON,USA,DAY
DBA,DALBANDIN,PAKISTAN,DBA
DBO,DUBBO,AUSTRALIA,DBO
DBQ,DUBUQUE,USA,DBQ
DCA,WASHINGION,USA,DCA
DEC,DECATUR,USA,DEC
DEL,DELHI,INDIA,DEL
DEN,DENVER,USA,DEN
DFW,DALLAS,USA,DFW
DGO,DURANGO,MEXICO,DGO
DGT,DUMAGUETE,PHILIPPINES,DGT
DHA,DHAHRAN,SAUDI ARABIA,DHA
DHN,DOTHAN,USA,DHN
DIJ,DIJON,FRANCE,DIJ
DIK,DICKINSON,USA,DIK
DIL,DILI,INDONESIA,DIL
DIN,DIEN BIEN PHU,VIETNAM,DIN
DIR,DIRE DAWA,ETHIOPIA,DIR
DIY,DIYARBAKIR,TURKEY,DIY
DJB,JAMBI,INDONESIA,DJB
DJG,DJANET,ALGERIA,DJG
DJJ,JAYAPURA,INDONESIA,DJJ
DKR,DAKAR,SENEGAL,DKR
DLA,DOUALA,CAMERNOON,DLA
DLC,DALIAN,CHINA,DLC
DLH,DULUTH,USA,DLH
DLU,DALI CITY,CHINA,DLU
DND,DUNDEE,UK,DND
DNQ,DENILIQUIN,AUSTRALIA,DNQ
DNV,DANVILLE,USA,DNV
DOG,DONGOLA,SUDAN,DOG
DPO,DEVONPORT,AUSTRALIA,DPO
DPS,DENPASAR,INDONESIA,DPS
DRB,DERBY,AUSTRALIA,DRB
DRO,DURANGO,USA,DRO
DRS,DRESDEN,GERMANY,DRS
DRW,DARWIN,AUSTRALIA,DRW
DSM,DES MOINES,USA,DSM
DTM,DORTMUND,GERMANY,DTM
DTT,DETROIT,MI USA,DTT
DUB,DUBLIN,IRELAND,DUB
DUR,DURBAN,S AFRICA,DUR
DUS,DUSSELDORF,GERMANY,DUS
DXB,DUBAI,UAE,DXB
EAU,EAU CLAIRE,USA,EAU
EBB,ENTEBBE/KAMPALA,UGANDA,EBB
EBD,EI OBEID,SUDAN,EBD
EBJ,ESBJERG,DENMARK,EBJ
EBU,ST ETIENNE,FRANCE,EBU
EC,,,EC
EDI,EDINBURGH,UK,EDI
EFD,HOUSTON,USA,EFD
EGN,GENEINA,SUDAN,EGN
EGO,BELGOROD,RUSSIAN,EGO
EIN,EINDHOVEN,NETHERLANDS,EIN
EKO,ELKO,USA,EKO
ELD,EI DORADO,USA,ELD
ELE,EI REAL,PANAMA,ELE
ELF,EI FASHER,SUDAN,ELF
ELI,ELMIRA,USA,ELI
ELP,EI PASO,USA,ELP
ELS,EAST LONDON,S AFRICA,ELS
ELY,ELY,USA,ELY
EMD,EMERALD,AUSTRALIA,EMD
EME,EMDEN,GERMANY,EME
EMN,NEMA,MAURITANIA,EMN
ENE,ENDE,INDONESIA,ENE
ENO,ENCARNACION,PARAGUAY,ENO
ENS,ENSCHEDE,NETHERLANDS,ENS
ENU,ENUGU,NIGERIA,ENU
ENY,YAN'AN,CHINA,ENY
EPR,ESPERANCE,AUSTRALIA,EPR
EQS,ESQUEL,ARGENTINA,EQS
ERF,ERFURT,GERMANY,ERF
ERI,ERIE,USA,ERI
ERN,EIRUNEPE,BRAZIL,ERN
ERS,WINDHOEK,NAMIBIA,ERS
ERZ,ERZURUM,TURKEY,ERZ
ESB,ANKARA,TURKEY,ESB
ESL,ELISTA,RUSSIAN,ESL
ESR,EI SALVADOR,CHILE,ESR
ESS,ESSEN,GERMANY,ESS
ETZ,METZ,FRANCE,ETZ
EUG,EUGENE,USA,EUG
EVN,YEREAVAN,ARMENIA,EVN
EVV,EVANSVILLE,USA,EVV
EWB,NEW BEDFORD,USA,EWB
EWN,NEW BERN,USA,EWN
EWR,NEWARK INTL,USA,NYC
EXT,EXETER,UK,EXT
EYW,KEY WEST,USA,EYW
FAI,FAIRBANKS,USA,FAI
FAR,FARGO,USA,FAR
FAT,FRESNO,USA,FAT
FAY,FAYETTEVILLE,USA,FAY
FBM,LUBUMBASHI,ZAIRE,FBM
FBU,OSLO,NORWAY,FBU
FCO,ROME,ITALY,ROM
FDF,FORT DE FRANCE,MARTINIQUE,FDF
FEG,FERGANA,UZBEKISTAN,FEG
FEZ,FEZ,MOROCCO,FEZ
FIE,FAIR ISLE,UK,FIE
FIH,KINSHASA,ZAIRE,FIH
FKI,KISANGANI,ZAIRE,FKI
FKQ,FAK FAK,INDONESIA,FKQ
FLL,FORT LAUDERDALE,USA,FLL
FLR,FLORENCE,ITALY,FLR
FLS,FLINDERS ISLAND,AUSTRALIA,FLS
FMA,FORMOSA,ARGENTINA,FMA
FMN,FARMINGRON,USA,FMN
FMO,MUNSTER,GERMANY,FMO
FNA,FREETOWN,SIERRA LEONE,FNA
FNI,NIMES,FRANCE,FNI
FNT,FLINT,USA,FNT
FOC,FUZHOU,CHINA,FOC
FPO,FREEPORT,BAHAMAS,FPO
FRA,FRANKFUT,GERMANY,FRA
FRB,FORBES,AUSTRALIA,FRB
FRU,BISHKEK,KYRGYZTAN,FRU
FRW,FRANCISTOWN,BOTSWANA,FRW
FSD,SIOUX FALLS,USA,FSD
FSM,FORT SMITH,USA,FSM
FUJ,FUKUE,JAPAN,FUJ
FUK,FUKUOKA,JAPAN,FUK
FWA,FORT WAYNE,USA,FWA
FYN,FUYUN,CHINA,FYN
FYU,FORT YUKON,USA,FYU
FYV,FAYETTEVILLE,USA,FYV
GAJ,YAMAGATA,JAPAN,GAJ
GAQ,GAO,MALI,GAQ
GAR,GARAINA,PAPUA NEW GUINEA,GAR
GAU,GAUAHATI,INDIA,GAU
GBE,GABORONE,BOTSWANA,GBE
GBG,GALESBURG,USA,GBG
GBZ,GREAT BARRIER ISLAND,NEW ZEALAND,GBZ
GCK,GARDEN CITY,USA,GCK
GCM,GRAND CAYMAN ISLAND,CAYMAN IS,GCM
GCN,GRAND CAYON,USA,GCN
GDL,GUADALAJARA,MEXICO,GDL
GDN,GDANSK,POLAND,GDN
GDQ,GONDAR,ETHIOPIA,GDQ
GDV,GLENDIVE,USA,GDV
GDX,MAGADAN,RUSSIAN,GDX
GEG,SPOKANE,USA,GEG
GEO,GEORGETOWN,GUYANA,GEO
GET,GERALDTON,AUSTRALIA,GET
GEV,GALLIVARE,SWEDEN,GEV
GFF,GRIFFITH,AUSTRALIA,GFF
GFK,GRAND FORKS,USA,GFK
GFN,GRAFTON,AUSTRALIA,GFN
GGG,LONGVIEW,USA,GGG
GGT,GEORGE TOWN,BAHAMAS,GGT
GGW,GLASGOW,USA,GGW
GHA,GHARDAIA,ALGERIA,GHA
GIB,GIBRALTAR,GIBRALTAR,GIB
GIG,RIO DE JANEIRO,BRAZIL,GIG
GIL,GILGIT,PAKISTAN,GIL
GIS,GISBORNE,NEW ZEALAND,GIS
GLA,GLASGOW,UK,GLA
GLH,GREENVILLE,USA,GLH
GLI,GLEN INNES,AUSTRALIA,GLI
GLT,GLADSTONE,AUSTRALIA,GLT
GME,GOMEL,BELARUS,GME
GMP,SEOUL GIMPO INTL,,SEL
GNB,GRENOBLE,FRANCE,GNB
GND,GRENADA,GRENADA,GND
GOA,GENOA,ITALY,GOA
GOI,GOA,INDIA,GOI
GPZ,GRAND RAPIDS,USA,GPZ
GRB,GREEN BAY,USA,GRB
GRI,GRAND ISLAND,USA,GRI
GRQ,GRONINGEN,NETHERLANDS,GRQ
GRR,GRAND RAPIDS,USA,GRR
GRU,SAO PAULO,BRAZIL,SAO
GRZ,GRAZ,AUSTRIA,GRZ
GSO,GREENSBORO,USA,GSO
GSP,GREENVILLE,USA,GSP
GTE,GROOTE EYLANDT,AUSTRALIA,GTE
GTF,GREAT FALLS,USA,GTF
GUA,GUATEMALA CITY,GUATEMALA,GUA
GUM,GUAM,GUAM,GUM
GUP,GALLUP,USA,GUP
GVA,GENEVA,SWITZERLAND,GVA
GVX,GAVLE,SWEDEN,GVX
GWD,GWADAR,PAKISTAN,GWD
GWL,GWALIOR,INDIA,GWL
GWY,GALWAY,IRELAND,GWY
GYA,GUAYARAMERIN,BOLIVIA,GYA
GYE,GUAYAQUIL,ECUADOR,GYE
GYM,GUAYMAS,MEXICO,GYM
GYN,GOIANIA,BRAZIL,GYN
GYY,CHICAGO,USA,GYY
HAH,MORONI,COMOROS,HAH
HAJ,HANOVER,GERMANY,HAJ
HAK,HAIKOU,CHINA,HAK
HAM,HAMBURG,GERMANY,HAM
HAN,HANOI,VIETNAM,HAN
HAP,LONG ISLAND,AUSTRALIA,HAP
HAR,HARRISBURG,USA,HAR
HAS,HAIL,SAUDI ARABIA,HAS
HAU,HAUGESUND,NORWAY,HAU
HAV,HAVANA,CUBA,HAV
HBA,HOBART,AUSTRALIA,HBA
HCR,HOLY CROSS,USA,HCR
HDD,HYDERBAD,PAKISTAN,HDD
HEA,HAIFA,ISRAEL,HEA
HEL,HELSINKI,FINLAND,HEL
HFD,HARTFORD,USA,HFD
HFE,HEFEI,CHINA,HFE
HFT,HAMMERFEST,NORWAY,HFT
HGD,HUGHEN,AUSTRALIA,HGD
HGH,HANGZHOU,CHINA,HGH
HGL,HELGOLAND,GERMANY,HGL
HGR,HAGERSTOWN,USA,HGR
HIB,HIBBING,USA,HIB
HIJ,HIROSHIMA,JAPAN,HIJ
HIN,CHINJU,KOREA,HIN
HIR,HONIARA,SOLOMON IS,HIR
HKD,HAKODATE,,HKD
HKG,HONG KONG,HONG KONG,HKG
HKK,HOKITIKA,NEW ZEALAND,HKK
HKT,PHUKET,THAILAND,HKT
HLD,HAILAR,CHINA,HLD
HLN,HELENA,USA,HLN
HLP,JAKARTA,INDONESIA,JKT
HMO,HERMOSILLO,MEXICO,HMO
HNA,MORIOKA,JAPAN,HNA
HND,TOKYO HANEDA AIRPORT,JAPAN,TYO
HNL,HONOLULU,HI USA,HNL
HNM,HANA,USA,HNM
HOB,HOBBS,USA,HOB
HOG,HOLGUIN,CUBA,HOG
HOM,HOMER,USA,HOM
HON,HURON,USA,HON
HOT,HOT SPRINGS,USA,HOT
HOU,HOUSTON,USA,HOU
